,city,lat,lon,population
284,Atwater,37.354,-120.598,29559
285,East Palo Alto,37.467,-122.135,29314
286,Wasco,35.594,-119.367,28710
287,Vineyard,38.474,-121.319,28386
288,Benicia,38.072,-122.152,28240
289,Monterey,36.592,-121.881,28178
290,Sonora,37.982,-120.383,28035
291,Galt,38.269,-121.3,27954
292,Sanger,36.699,-119.558,27777
293,Isla Vista,34.414,-119.858,27707
294,Temescal Valley,33.758,-117.468,27630
295,Imperial Beach,32.569,-117.118,27440
296,Ladera Ranch,33.549,-117.642,27277
297,Windsor,38.542,-122.809,27128
298,Maywood,33.988,-118.188,26973
299,Belmont,37.515,-122.296,26941
300,Lemon Grove,32.733,-117.034,26811
301,Lemoore,36.295,-119.798,26725
302,West Whittier-Los Nietos,33.976,-118.069,26654
303,Lafayette,37.892,-122.119,26638
304,Norco,33.925,-117.55,26604
305,Brawley,32.978,-115.529,26309
306,Hercules,38.006,-122.256,26276
307,Soledad,36.443,-121.343,26207
308,Twentynine Palms,34.148,-116.066,26073
309,Bay Point,38.033,-121.961,25808
310,San Lorenzo,37.674,-122.135,25569
311,El Cerrito,37.92,-122.302,25508
312,South Pasadena,34.11,-118.157,25329
313,Yucca Valley,34.123,-116.422,25042
314,Riverbank,37.727,-120.94,24881
315,North Tustin,33.764,-117.794,24705
316,Lathrop,37.809,-121.313,24483
317,Loma Linda,34.045,-117.25,24482
318,Dinuba,36.545,-119.399,24461
319,Ashland,37.694,-122.116,24430
320,San Fernando,34.289,-118.436,24322
321,Seal Beach,33.754,-118.071,23896
322,Calabasas,34.138,-118.669,23853
323,Coronado,32.664,-117.16,23731
324,Valinda,34.04,-117.93,23705
325,Half Moon Bay,37.469,-122.438,23653
326,Rosemont,38.548,-121.355,23602
327,Oakdale,37.762,-120.847,23596
328,Cudahy,33.963,-118.183,23569
329,Winter Gardens,32.838,-116.927,23545
330,West Puente Valley,34.051,-117.968,23382
331,Granite Bay,38.76,-121.171,23183
332,Patterson,37.476,-121.154,22930
333,West Rancho Dominguez,33.906,-118.268,22901
334,Laguna Beach,33.545,-117.761,22827
335,Willowbrook,33.92,-118.236,22811
336,Marina,36.681,-121.79,22781
337,Corcoran,36.084,-119.561,22581
338,Millbrae,37.599,-122.402,22394
339,Arvin,35.194,-118.831,22155
340,West Carson,33.823,-118.293,22079
341,Port Hueneme,34.162,-119.204,21926
342,Lakeside,32.856,-116.904,21917
343,Bloomington,34.06,-117.401,21847
344,Lennox,33.938,-118.359,21818
345,Rancho San Diego,32.762,-116.92,21799
346,Shafter,35.479,-119.201,21734
347,Ramona,33.047,-116.877,21323
348,Duarte,34.161,-117.95,21271
349,Rosamond,34.866,-118.215,20851
350,Dixon,38.447,-121.825,20803
351,South El Monte,34.049,-118.048,20574
352,American Canyon,38.18,-122.258,20475
353,Prunedale,36.806,-121.656,20327
354,Lomita,33.793,-118.318,20320
355,Linda,39.124,-121.542,20228
356,Agoura Hills,34.151,-118.761,20222
357,East Hemet,33.73,-116.941,20211
358,Mead Valley,33.833,-117.285,20145
359,La Cañada Flintridge,34.21,-118.2,20009
360,South San Jose Hills,34.012,-117.904,19977
361,Orinda,37.881,-122.179,19926
362,Casa de Oro-Mount Helix,32.764,-116.969,19804
363,Albany,37.89,-122.302,19696
364,La Crescenta-Montrose,34.232,-118.235,19689
365,Blythe,33.622,-114.619,19682
366,Castaic,34.482,-118.632,19400
367,Hermosa Beach,33.865,-118.397,19320
368,Pinole,37.993,-122.283,19250
369,Stevenson Ranch,34.389,-118.588,19179
370,Cameron Park,38.674,-120.987,19171
371,Red Bluff,40.174,-122.241,19039
372,Rancho Mirage,33.763,-116.427,18528
373,Chowchilla,37.11,-120.235,18310
374,Imperial,32.839,-115.572,18120
375,Mountain House,37.774,-121.545,17966
376,Woodcrest,33.879,-117.369,17859
377,Moraga,37.844,-122.122,17783
378,Valle Vista,33.744,-116.887,17663
379,Greenfield,36.323,-121.245,17646
380,Santa Fe Springs,33.933,-118.062,17630
381,Nipomo,35.032,-120.499,17601
382,Lakeport,39.039,-122.922,17466
383,McKinleyville,40.949,-124.086,17208
384,Coalinga,36.143,-120.326,17179
385,Crescent City,41.773,-124.19,16849
386,Live Oak,36.986,-121.98,16837
387,Rosedale,35.389,-119.206,16820
388,Truckee,39.346,-120.185,16735
389,Lindsay,36.208,-119.09,16713
390,El Segundo,33.917,-118.402,16610
391,Bostonia,32.819,-116.948,16603
392,Artesia,33.868,-118.081,16601
393,Solvang,34.594,-120.14,16540
394,Los Osos,35.307,-120.825,16533
395,Ripon,37.742,-121.131,16386
396,Rio Linda,38.688,-121.442,16359
397,Stanford,37.425,-122.167,16326
398,East San Gabriel,34.12,-118.081,16256
399,Vincent,34.098,-117.924,16225
400,Discovery Bay,37.907,-121.608,16159
401,Cherryland,37.679,-122.104,16066
402,Phelan,34.44,-117.525,15987
403,Clearlake,38.959,-122.633,15961
404,Fillmore,34.399,-118.918,15954
405,Walnut Park,33.968,-118.222,15896
406,King City,36.217,-121.133,15887
407,Laguna Woods,33.61,-117.73,15850
408,Parkway,38.499,-121.452,15818
409,East Rancho Dominguez,33.895,-118.196,15792
410,McFarland,35.678,-119.241,15651
