city,lat,lon,population
Martinez,38.0194,-122.1341,38297.0
Stanton,33.8025,-117.9931,38139.0
Wildomar,33.5989,-117.28,37229.0
West Hollywood,34.09,-118.3617,36475.0
Moorpark,34.1449,-118.2687,36375.0
Monrovia,34.1444,-118.0019,36331.0
Claremont,34.0967,-117.7198,36266.0
San Juan Capistrano,33.5017,-117.6626,35911.0
Temple City,34.1072,-118.0578,35811.0
Bell,33.9775,-118.187,35521.0
Auburn,38.8966,-121.0769,35311.0
Manhattan Beach,33.8847,-118.4109,35183.0
Pleasant Hill,37.948,-122.0608,34839.0
Menlo Park,37.4538,-122.1822,34698.0
Arcata,40.8665,-124.0828,34616.0
Grass Valley,39.2191,-121.0611,34196.0
Adelanto,34.5828,-117.4092,34049.0
Foster City,37.5585,-122.2711,33901.0
Sonoma,38.2919,-122.458,33831.0
Beverly Hills,34.0736,-118.4004,33792.0
San Dimas,34.1067,-117.8067,33621.0
Dana Point,33.467,-117.6981,33577.0
Ridgecrest,35.6225,-117.6709,32684.0
Lawndale,33.8872,-118.3526,32389.0
La Verne,34.1008,-117.7678,31974.0
Placerville,38.7296,-120.7985,31943.0
Banning,33.9256,-116.8764,31221.0
Laguna Hills,33.5997,-117.6994,31207.0
San Pablo,37.9621,-122.3455,30990.0
Goleta,34.4358,-119.8276,30911.0
Burlingame,37.5841,-122.3661,30889.0
Barstow,34.8958,-117.0173,30605.0
Santa Paula,34.3542,-119.0593,30233.0
South Lake Tahoe,38.9399,-119.9772,30188.0
San Carlos,37.5072,-122.2605,30185.0
Saratoga,37.2638,-122.023,30153.0
Los Altos,33.7963,-118.1181,30089.0
Atascadero,35.4894,-120.6707,30075.0
Walnut,34.0203,-117.8653,29685.0
Suisun City,38.2382,-122.0402,29663.0
Ukiah,39.1502,-123.2078,29561.0
Atwater,37.3477,-120.6091,29559.0
East Palo Alto,37.4688,-122.1411,29314.0
Wasco,35.5941,-119.3409,28710.0
Monterey,36.6002,-121.8947,28178.0
Sonora,37.9841,-120.3821,28035.0
Galt,38.2546,-121.2999,27954.0
Sanger,36.708,-119.556,27777.0
Imperial Beach,32.5839,-117.1131,27440.0
Maywood,33.9867,-118.1854,26973.0
Belmont,37.5202,-122.2758,26941.0
Lemon Grove,32.7426,-117.0314,26811.0
Lemoore,36.3008,-119.7829,26725.0
Lafayette,37.8858,-122.118,26638.0
Norco,33.9311,-117.5487,26604.0
Brawley,32.9787,-115.5303,26309.0
Hercules,38.0171,-122.2886,26276.0
Soledad,32.9912,-117.2711,26207.0
