city_name,PC1,PC2,lat,lon
Oceanside,-1.9027678542800417,-0.13939742764084928,33.225,-117.308
Elk Grove,0.9860096031927945,0.07549064318334564,38.416,-121.384
Vallejo,1.1748882165300862,-0.2945497222390921,38.113,-122.236
Garden Grove,-1.5232926647704796,-0.18763957868449677,33.779,-117.96
Corona,-1.6280416992930244,-0.033265377749189806,33.862,-117.565
Hayward,0.9792411082458512,-0.3858915281491485,37.633,-122.077
Palmdale,-1.2317624365455742,0.008113453649656877,34.594,-118.106
Sunnyvale,0.8880751497553754,-0.4436010688969636,37.384,-122.026
Pomona,-1.504503318399466,-0.03961661868007971,34.058,-117.763
Escondido,-2.0070820315275992,-0.08889367180472396,33.135,-117.072
Fairfield,1.1516216117451465,-0.18399065605338782,38.259,-122.032
Torrance,-1.381254080288596,-0.2961961231770478,33.835,-118.342
Santa Maria,-0.3638739049991872,-0.6570891572470114,34.933,-120.443
Fullerton,-1.502399383336999,-0.14575403513797747,33.884,-117.928
Santa Clara,0.8630719765030519,-0.43055576706940424,37.364,-121.968
Redding,1.9517129971177019,0.3976500017053316,40.57,-122.365
Yuba City,1.2845643290996507,0.20741928856793257,39.136,-121.638
Gilroy,0.6304525159785952,-0.41258009861942624,37.005,-121.586
Chico,1.528565954661081,0.3353074643166075,39.758,-121.815
Carlsbad,-1.9405346311343386,-0.1614200079103646,33.125,-117.284
Clovis,-0.046652858843439365,0.15869811409346304,36.828,-119.683
Downey,-1.4196714255237657,-0.1961957401043518,33.938,-118.131
Inglewood,-1.3441265642520401,-0.2603806235225541,33.957,-118.344
Turlock,0.5414669313477924,-0.0246477283695678,37.505,-120.859
Daly City,1.1233348892305244,-0.4982969498582034,37.686,-122.468
West Covina,-1.4565566058342978,-0.08875911838772543,34.056,-117.911
El Cajon,-2.1433677698365696,-0.1517064927180437,32.802,-116.96
Vacaville,1.1605240281940135,-0.13310371537844268,38.359,-121.968
San Marcos,-1.9736256137849382,-0.12235008954738502,33.135,-117.174
Compton,-1.401307633611547,-0.24146474272228624,33.893,-118.228
San Leandro,1.028587510309511,-0.3909938059411891,37.707,-122.16
Milpitas,0.8590699402371467,-0.38470118081683113,37.434,-121.892
Pleasanton,0.9244895453545721,-0.3114094774070151,37.666,-121.88
Folsom,0.9816682552682398,0.22990327748866918,38.667,-121.142
Tustin,-1.586514720712115,-0.15311641416229194,33.731,-117.811
Perris,-1.7617432685241616,0.057387854352801915,33.79,-117.223
Watsonville,0.6660217436571045,-0.4983723862819388,36.921,-121.771
Porterville,-0.4879228610464591,0.14317742787056428,36.064,-119.034
Camarillo,-1.0389399015621763,-0.4065275962630815,34.223,-119.032
Lodi,0.8682708755288144,0.017448660903322977,38.122,-121.293
Union City,0.951248467137338,-0.3758356941777792,37.603,-122.019
Redlands,-1.700774370444431,0.15246917836621998,34.051,-117.171
Lake Elsinore,-1.7567242264118539,-0.010410012739505481,33.685,-117.334
Rocklin,1.0589161902607669,0.2369583360407146,38.808,-121.249
Florence-Graham,-1.3733105550663371,-0.22461980342463628,33.968,-118.245
San Clemente,-1.736447590669842,-0.17119163772247303,33.45,-117.61
San Luis Obispo,-0.1898967530157446,-0.631369856436923,35.267,-120.669
National City,-2.139058914285133,-0.23792676752910158,32.665,-117.098
Woodland,1.1822905324846098,0.031672574557250144,38.671,-121.75
Hacienda Heights,-1.4538582122638133,-0.12673323266125713,33.997,-117.973
Cathedral City,-1.9969468248825355,0.32009451498812846,33.836,-116.464
Rosemead,-1.3965815972879687,-0.14096151050795613,34.069,-118.082
Yucaipa,-1.7478409900260385,0.18937160723677793,34.034,-117.043
West Sacramento,1.0823108330351627,0.0628945133143135,38.556,-121.55
Palm Desert,-2.05707599485173,0.3216301149759889,33.738,-116.37
Placentia,-1.527240522666542,-0.122706576522149,33.881,-117.855
Beaumont,-1.8071565553181137,0.17335258255285224,33.908,-116.977
Poway,-2.0683823687660663,-0.11608158310949457,32.987,-117.02
Reedley,-0.19252063929204638,0.1676482667285389,36.599,-119.447
Hollister,0.5242446749642958,-0.3954583997196059,36.856,-121.398
El Dorado Hills,0.9535554486701812,0.26279923265662997,38.675,-121.049
